iter	Passed	Remaining
1436	12793	76235
1437	12802	76225
1438	12810	76214
1439	12819	76206
1440	12827	76192
1441	12837	76191
1442	12846	76179
1443	12854	76166
1444	12863	76155
1445	12872	76149
1446	12881	76141
1447	12890	76130
1448	12899	76122
1449	12908	76118
1450	12918	76112
1451	12927	76105
1452	12937	76101
1453	12946	76095
1454	12956	76089
1455	12964	76077
1456	12974	76072
1457	12983	76065
1458	12992	76056
1459	13002	76054
1460	13012	76055
1461	13022	76051
1462	13033	76051
1463	13042	76043
1464	13051	76040
1465	13060	76027
1466	13068	76016
1467	13077	76006
1468	13087	76000
1469	13095	75990
1470	13104	75982
1471	13113	75971
1472	13121	75960
1473	13131	75954
1474	13139	75940
1475	13148	75930
1476	13157	75923
1477	13166	75916
1478	13175	75908
1479	13183	75896
1480	13191	75882
1481	13200	75871
1482	13209	75861
1483	13217	75850
1484	13226	75842
1485	13235	75831
1486	13243	75818
1487	13252	75808
1488	13260	75798
1489	13269	75787
1490	13278	75776
1491	13286	75763
1492	13295	75759
1493	13305	75754
1494	13314	75747
1495	13323	75739
1496	13331	75725
1497	13340	75716
1498	13349	75706
1499	13358	75699
1500	13367	75688
1501	13375	75675
1502	13383	75662
1503	13392	75653
1504	13400	75642
1505	13411	75642
1506	13420	75631
1507	13429	75623
1508	13438	75614
1509	13446	75602
1510	13454	75587
1511	13463	75578
1512	13472	75570
1513	13480	75560
1514	13488	75547
1515	13497	75534
1516	13505	75522
1517	13513	75506
1518	13521	75495
1519	13530	75487
1520	13540	75484
1521	13549	75473
1522	13559	75469
1523	13568	75461
1524	13577	75453
1525	13586	75447
1526	13595	75439
1527	13604	75429
1528	13613	75420
1529	13621	75408
1530	13630	75398
1531	13638	75387
1532	13647	75376
1533	13656	75368
1534	13664	75354
1535	13672	75340
1536	13680	75325
1537	13689	75317
1538	13697	75303
1539	13705	75292
1540	13713	75278
1541	13721	75264
1542	13730	75253
1543	13739	75244
1544	13747	75234
1545	13755	75219
1546	13764	75211
1547	13772	75196
1548	13780	75183
1549	13788	75171
1550	13797	75159
1551	13804	75142
1552	13812	75126
1553	13819	75111
1554	13828	75099
1555	13836	75088
1556	13844	75073
1557	13852	75060
1558	13861	75048
1559	13869	75036
1560	13877	75023
1561	13885	75010
1562	13892	74991
1563	13900	74977
1564	13908	74963
1565	13917	74955
1566	13926	74945
1567	13935	74937
1568	13943	74925
1569	13952	74918
1570	13962	74911
1571	13970	74901
1572	13980	74895
1573	13989	74887
1574	13998	74880
1575	14006	74867
1576	14014	74855
1577	14022	74841
1578	14031	74830
1579	14039	74816
1580	14047	74806
1581	14056	74795
1582	14065	74785
1583	14073	74775
1584	14082	74768
1585	14092	74762
1586	14101	74754
1587	14109	74743
1588	14118	74733
1589	14127	74722
1590	14136	74714
1591	14145	74708
1592	14154	74698
1593	14163	74689
1594	14171	74678
1595	14181	74673
1596	14190	74665
1597	14199	74658
1598	14207	74647
1599	14215	74632
1600	14224	74621
1601	14231	74604
1602	14239	74593
1603	14248	74581
1604	14256	74569
1605	14264	74557
1606	14272	74544
1607	14281	74533
1608	14289	74521
1609	14298	74510
1610	14306	74500
1611	14314	74487
1612	14323	74474
1613	14330	74458
1614	14338	74446
1615	14346	74430
1616	14353	74414
1617	14361	74400
1618	14369	74384
1619	14377	74370
1620	14385	74358
1621	14393	74347
1622	14402	74339
1623	14411	74329
1624	14419	74317
1625	14428	74307
1626	14437	74298
1627	14446	74291
1628	14457	74291
1629	14465	74279
1630	14474	74271
1631	14483	74261
1632	14491	74249
1633	14500	74240
1634	14508	74227
1635	14516	74215
1636	14525	74204
1637	14533	74193
1638	14542	74183
1639	14550	74170
1640	14559	74162
1641	14567	74151
1642	14575	74136
1643	14583	74124
1644	14592	74113
1645	14600	74104
1646	14609	74093
1647	14617	74081
1648	14625	74065
1649	14633	74053
1650	14641	74040
1651	14649	74029
1652	14657	74016
1653	14665	74000
1654	14673	73986
1655	14680	73971
1656	14689	73962
1657	14697	73947
1658	14705	73937
1659	14714	73924
1660	14722	73911
1661	14730	73899
1662	14738	73886
1663	14746	73872
1664	14755	73864
1665	14763	73850
1666	14771	73839
1667	14779	73826
1668	14788	73816
1669	14796	73805
1670	14805	73796
1671	14814	73786
